txn_id,txn_date,description,amount,recorded_balance
1,2026-07-31,Opening balance,1000.00,1000.00
2,2026-08-01,Invoice 1041 payment,420.00,1420.00
3,2026-08-02,Office supplies,-85.50,1334.50
4,2026-08-03,Invoice 1042 payment,610.00,1944.50
5,2026-08-04,Software subscription,-49.00,1895.50
6,2026-08-05,Card settlement,180.25,2075.75
7,2026-08-08,Rent,-900.00,1175.75
8,2026-08-09,Invoice 1043 payment,775.00,1950.75
9,2026-08-10,Fuel,-62.75,1888.00
10,2026-08-11,Customer refund,-120.00,1768.00
11,2026-08-12,Invoice 1044 payment,330.00,2098.00
12,2026-08-15,Bank fee,-12.50,2085.50
13,2026-08-16,Invoice 1045 payment,250.00,2435.50
14,2026-08-17,Courier,-38.00,2397.50
15,2026-08-18,Invoice 1046 payment,540.00,2937.50
16,2026-08-19,Utilities,-140.25,2797.25
17,2026-08-22,Card settlement,205.75,3003.00
18,2026-08-23,Payroll,-1500.00,1503.00
19,2026-08-24,Invoice 1047 payment,680.00,2183.00
20,2026-08-25,Insurance,-95.00,2088.00
21,2026-08-26,Invoice 1048 payment,415.50,2503.50
22,2026-08-29,Cleaning service,-70.00,2433.50
23,2026-08-30,Interest,4.50,2438.00
24,2026-08-31,Vendor payment,-75.00,2233.00
25,2026-09-01,Invoice 1049 payment,510.00,2743.00
26,2026-09-02,Phone,-55.25,2687.75
27,2026-09-03,Card settlement,160.50,2848.25
28,2026-09-03,Stationery,-22.00,2826.25
29,2026-09-04,Invoice 1050 payment,295.00,3121.25
30,2026-09-04,Bank fee,-12.50,3108.75
31,2026-09-04,Deposit correction,11.25,3120.00
